Polluant,Modèle,Accuracy,Precision,Recall,F1-score
NO2,LogisticRegression,0.743133529106927,0.7431972962088863,0.743133529106927,0.7430268592560793
NO2,RandomForest,0.9566419070651235,0.9566533977030527,0.9566419070651235,0.9566393987315244
NO2,XGBoost,0.9416134047331145,0.9417006692172166,0.9416134047331145,0.9416025895081268
O3,LogisticRegression,0.7987562618759717,0.7987546314230105,0.7987562618759717,0.7987525624304974
O3,RandomForest,0.9910174468820176,0.9910197015481577,0.9910174468820176,0.9910175096052259
O3,XGBoost,0.9744342718949732,0.9744346357408037,0.9744342718949732,0.9744343375054934
PM10,LogisticRegression,0.6952841596130592,0.6953563284754039,0.6952841596130592,0.6952989998827916
PM10,RandomForest,0.9046467438244947,0.9049484265958347,0.9046467438244947,0.9046067966786628
PM10,XGBoost,0.9177750906892382,0.9181604967847846,0.9177750906892382,0.9177355522760043
PM2.5,LogisticRegression,0.7222318189670064,0.7222546832538933,0.7222318189670064,0.7221756316144132
PM2.5,RandomForest,0.9777163586111591,0.9779821906188836,0.9777163586111591,0.977710207328159
PM2.5,XGBoost,0.9302124719295215,0.9302355608302318,0.9302124719295215,0.9302080228043279
